sample	chloramphenicol	linezolid	tetracycline	fosfomycin	quinupristin+dalfopristin	teicoplanin	erythromycin	gentamicin	vancomycin	ampicillin	tigecycline	ciprofloxacin
10733_4#12	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#13	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#14	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#15	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#17	No resistance	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_4#18	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#19	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#20	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#21	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#22	No resistance	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_4#23	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#24	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#25	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	No resistance
10733_4#26	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#27	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#28	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_4#29	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#31	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#32	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#33	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_4#35	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#36	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	No resistance
10733_4#37	Resistant	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_4#38	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_4#39	No resistance	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_4#40	Resistant	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#42	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#43	No resistance	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	No resistance
10733_4#44	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#45	Resistant	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_4#46	Resistant	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#47	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_4#48	Resistant	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#49	Resistant	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_4#51	No resistance	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_4#52	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#53	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_4#56	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_4#58	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#59	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#60	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#62	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#63	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_4#65	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	No resistance
10733_4#66	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#67	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#68	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#69	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#70	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_4#71	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_4#72	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#73	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_4#74	No resistance	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_4#75	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#76	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#77	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#78	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#79	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_4#81	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_4#82	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#83	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_4#84	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#85	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#86	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_4#87	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_4#88	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#89	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_4#90	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_4#91	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#93	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#95	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_4#96	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_5#1	Resistant	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_5#5	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_5#6	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_5#7	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_5#9	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_5#11	No resistance	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_5#12	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_5#14	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_5#15	No resistance	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	No resistance
10733_5#16	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_5#18	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_5#20	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_5#21	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_5#22	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_5#24	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_5#28	No resistance	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_5#29	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_5#30	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_5#31	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_5#33	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_5#34	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_5#35	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_5#36	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_5#37	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_5#38	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_5#40	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_5#42	Resistant	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_5#43	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_5#44	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_5#45	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_5#46	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_5#47	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_5#48	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	No resistance
10733_5#49	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_5#50	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	No resistance
10733_5#51	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_5#52	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_5#53	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_5#54	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_5#55	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_5#56	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_5#57	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_5#58	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_5#60	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_5#61	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_5#62	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_5#63	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_5#64	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_5#65	No resistance	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_5#67	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_5#68	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_5#69	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_5#70	No resistance	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_5#72	Resistant	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_5#73	No resistance	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_5#74	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_5#76	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	No resistance	No resistance	No resistance
10733_5#77	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_5#78	No resistance	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_5#79	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_5#82	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_5#83	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_5#87	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_5#88	Resistant	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_5#89	No resistance	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	No resistance
10733_5#92	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_5#93	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_5#94	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_5#95	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_6#3	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_6#4	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_6#5	Resistant	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_6#7	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_6#8	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_6#10	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_6#11	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_6#12	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_6#13	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_6#14	Resistant	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_6#17	No resistance	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_6#18	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_6#19	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_6#20	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_6#21	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_6#22	No resistance	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_6#23	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_6#28	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_6#30	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_6#31	No resistance	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_6#33	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_6#34	No resistance	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_6#35	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_6#36	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_6#39	Resistant	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_6#42	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_6#44	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_6#45	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_6#47	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_6#48	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_6#49	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_6#50	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_6#51	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_6#52	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_6#54	No resistance	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_6#55	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_6#56	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_6#57	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_6#58	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_6#59	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_6#60	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_6#61	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_6#62	No resistance	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_6#64	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_6#68	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	No resistance
10733_6#69	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_6#70	Resistant	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_6#72	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_6#74	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_6#75	No resistance	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_6#76	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_6#77	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_6#78	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_6#80	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_6#81	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_6#82	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_6#83	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_6#84	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_6#85	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_6#87	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_6#88	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_6#89	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_6#90	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_6#91	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_6#92	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10900_4#66	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
